GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Lack of Fusion,Off Position,Other,Skip-Discontinuity,Splatter,Surface Porosity,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,0.985927,16560,0.985927,13,0.999426,0.00043,0.000116,1.9e-05,5e-06,4e-06,1e-06,0.0,0.0,0.999426,0.998995,105.045731,89.092697,159.012711,191.352615,1.0,0.938964,140.222656,132.029221,102.259918,53.96698
Good,1.059544,18624,1.059544,10,0.998502,0.001432,4.3e-05,1.7e-05,5e-06,1e-06,0.0,0.0,0.0,0.998502,0.99707,105.823654,87.555084,160.446701,189.81842,1.0,0.974736,138.686752,133.135178,102.263336,54.623047
Good,0.765453,15997,0.765453,11,0.973966,0.017926,0.007194,0.000839,3.4e-05,2.3e-05,1.8e-05,0.0,0.0,0.973966,0.95604,106.166489,84.091545,160.294632,186.27121,1.0,0.96198,135.181377,133.23056,102.179665,54.128143
Good,0.93332,16312,0.93332,12,0.958505,0.026087,0.014569,0.000786,4.5e-05,7e-06,0.0,0.0,0.0,0.958505,0.932418,109.894531,88.561066,156.6138,189.325867,1.0,0.994877,138.943466,133.254166,100.764801,46.719269
Good,0.963252,18799,0.963252,9,0.942905,0.053308,0.002302,0.000958,0.000503,2.1e-05,3e-06,0.0,0.0,0.942905,0.889597,106.060226,87.06234,154.018082,175.753632,1.0,0.999583,131.407986,130.039154,88.691292,47.957855
Good,0.79316,19066,0.79316,10,0.925379,0.072368,0.001058,0.000964,0.000215,1.4e-05,2e-06,0.0,0.0,0.925379,0.853011,106.070236,87.053261,154.066849,175.625397,1.0,0.999575,131.339329,130.068542,88.572136,47.996613
Good,0.821828,17415,0.821828,9,0.993933,0.003868,0.002011,0.000183,3e-06,1e-06,1e-06,1e-06,0.0,0.993933,0.990065,106.448166,94.069901,153.485672,188.174149,1.0,0.992707,141.122025,129.966919,94.104248,47.037506
Good,0.962504,19508,0.962504,6,0.969441,0.030481,4e-05,2e-05,1.4e-05,2e-06,1e-06,0.0,0.0,0.969441,0.938961,111.142677,87.670746,155.806381,185.867493,1.0,0.891048,136.769119,133.474529,98.196747,44.663704
Good,0.910137,19543,0.910137,11,0.98647,0.006753,0.00665,8.8e-05,3.1e-05,4e-06,4e-06,0.0,0.0,0.98647,0.979717,106.18924,93.515747,155.443176,183.821991,1.0,0.971677,138.668869,130.816208,90.306244,49.253937
Good,0.994329,18941,0.994329,7,0.988391,0.009915,0.000881,0.000781,2.8e-05,3e-06,0.0,0.0,0.0,0.988391,0.978477,106.548264,87.045807,161.095535,189.654022,1.0,0.946911,138.349915,133.821899,102.608215,54.547272
Good,0.970569,20674,0.970569,7,0.984228,0.015579,0.000134,4.9e-05,6e-06,3e-06,1e-06,0.0,0.0,0.984228,0.968649,95.365334,86.499084,150.141449,202.21225,1.0,0.645031,144.355667,122.753391,115.713165,54.776115
Good,1.234355,21567,1.234355,11,0.963803,0.027436,0.005519,0.003008,0.000221,1e-05,2e-06,1e-06,0.0,0.963803,0.936367,116.025917,82.051788,166.47876,179.824158,1.0,0.998533,130.937973,141.252338,97.772369,50.452843
Good,0.647658,12833,0.647658,8,0.445431,0.37148,0.182988,7.2e-05,1.8e-05,8e-06,3e-06,0.0,0.0,0.445431,0.073951,118.067307,89.648178,169.743729,190.191574,1.0,0.779656,139.919876,143.905518,100.543396,51.676422
Good,0.878531,17547,0.878531,10,0.910075,0.072291,0.01147,0.005784,0.000352,1.6e-05,1.1e-05,1e-06,0.0,0.910075,0.837784,113.643806,90.649651,163.109955,189.825623,1.0,0.958749,140.237637,138.376881,99.175972,49.466148
