GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn Through,Good,Notching,Porosity,CL_ConfMax,CL_ConfMargin,Row1,Col1,Length1,Length2,PHI,OD1_ClassID,OD1_Conf
Good,0.450518,343,0.450518,1,0.983647,0.01038,0.005891,8.2e-05,0.983647,0.973267,262.014648,254.86113,104.602409,102.623337,1.593347,0.0,0.999999
Good,0.454454,347,0.454454,1,0.982549,0.010907,0.006459,8.4e-05,0.982549,0.971642,262.089417,255.702835,105.113731,102.9701,1.590601,0.0,0.999999
Good,0.360184,300,0.360184,9,0.822211,0.096121,0.073235,0.008433,0.822211,0.72609,269.146454,254.81897,104.731194,109.146164,1.601467,0.0,1.0
Good,0.373112,332,0.373112,9,0.882663,0.05603,0.053655,0.007652,0.882663,0.826633,269.097809,255.229492,104.489494,108.93924,1.599889,0.0,1.0
Good,0.359808,277,0.359808,10,0.763811,0.14296,0.082968,0.010261,0.763811,0.620851,268.20639,255.297211,105.284775,109.251297,1.604399,0.0,1.0
Good,0.393131,568,0.393131,10,0.773733,0.168894,0.056449,0.000925,0.773733,0.604839,271.417175,255.296295,97.910492,107.634628,1.600798,0.0,0.999999
Good,0.420306,623,0.420306,9,0.811193,0.121826,0.06505,0.001931,0.811193,0.689367,271.006714,254.883408,97.476631,107.701714,1.599247,0.0,0.999999
Good,0.422878,511,0.422878,10,0.820263,0.101891,0.075938,0.001909,0.820263,0.718372,271.863525,254.229309,97.170639,107.603699,1.612538,0.0,0.999999
Good,0.413381,490,0.413381,9,0.81821,0.119481,0.060992,0.001316,0.81821,0.698729,271.474701,254.374146,97.236618,107.406639,1.599416,0.0,0.999999
Good,0.39371,507,0.39371,8,0.715074,0.159376,0.104644,0.020906,0.715074,0.555698,271.404907,257.458557,109.17775,112.236473,1.57518,0.0,0.999997
Good,0.38522,458,0.38522,12,0.642807,0.166058,0.160948,0.030187,0.642807,0.476749,271.071411,257.285156,109.034615,111.829262,1.565101,0.0,0.999996
Good,0.383352,343,0.383352,10,0.689291,0.169923,0.117644,0.023142,0.689291,0.519369,271.390289,258.018433,109.109894,112.937981,1.56957,0.0,0.999996
Good,0.400416,613,0.400416,10,0.846404,0.06837,0.057778,0.027448,0.846404,0.778034,278.018646,254.717072,107.963829,112.604301,1.591981,0.0,0.999999
Good,0.420389,342,0.420389,11,0.695253,0.145725,0.110811,0.048211,0.695253,0.549528,278.789215,256.172668,108.298691,112.646217,1.594852,0.0,0.999998
Good,0.40012,307,0.40012,7,0.558747,0.212237,0.163909,0.065107,0.558747,0.346509,276.62854,259.614807,110.08242,113.87265,1.598661,0.0,0.999992
Good,0.507247,1340,0.507247,12,0.963606,0.024459,0.011621,0.000315,0.963606,0.939147,248.617142,230.138901,107.698151,116.382607,1.595065,0.0,0.999998
Good,0.612988,1483,0.612988,8,0.996219,0.002527,0.001193,6.1e-05,0.996219,0.993692,251.177917,226.164368,107.539169,115.123917,1.603618,0.0,0.999999
Good,0.695003,888,0.695003,10,0.690146,0.276995,0.032756,0.000103,0.690146,0.413151,252.776642,235.957504,110.218796,113.749451,1.627105,0.0,0.999994
Good,0.412408,614,0.412408,10,0.900331,0.04892,0.038219,0.01253,0.900331,0.851411,273.299316,250.61824,109.024635,112.583145,1.610746,0.0,0.999822
Good,0.473643,590,0.473643,8,0.646852,0.325675,0.024488,0.002985,0.646852,0.321177,266.577179,231.245483,108.272171,110.837379,1.579011,0.0,0.999989
Good,0.350088,119,0.350088,8,0.46185,0.374533,0.104456,0.059161,0.46185,0.087317,276.631989,262.010681,108.834808,110.540176,1.565491,0.0,0.99996
Good,0.410649,716,0.410649,15,0.657982,0.240661,0.08127,0.020087,0.657982,0.417321,267.649597,265.70697,108.660957,111.36261,1.591082,0.0,0.99997
Good,0.403027,543,0.403027,11,0.547581,0.261559,0.111929,0.078931,0.547581,0.286023,269.514191,254.04277,106.699013,111.892776,1.595043,0.0,0.999995
Good,0.643644,1021,0.643644,12,0.830565,0.079886,0.054154,0.035395,0.830565,0.750679,253.996964,238.548248,109.757454,116.499901,1.581654,0.0,0.999992
Bad,0.763285,4741,0.763285,6,0.521733,0.459562,0.018703,1e-06,0.521733,0.062171,252.054749,312.657074,104.267471,102.461128,1.204103,0.0,0.999625
